text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @musikamade: Gerade weil der Brite so sympathisch ist und die Zuschauer ihn m<U+00F6>gen, wird er<U+2026> https://t.co/zJEegzYLbe #TaylorSwift",FALSE,0,NA,2017/12/18 18:39,FALSE,NA,9.42827E+17,NA,xvlog application,xvlOG,1,TRUE,FALSE,NA,NA
RT @musikamade: S<U+00E4>ngerin Taylor Swift hat gleich doppeltes Gl<U+00FC>ck! Ihre Karriere l<U+00E4>uft mal<U+2026> https://t.co/3GRtNXCf54 #TaylorSwift,FALSE,0,NA,2017/12/18 18:39,FALSE,NA,9.42827E+17,NA,xvlog application,xvlOG,1,TRUE,FALSE,NA,NA
RT @Axe2GrindDesign: #Taylorswift #eglomis<U+00E9> #panel #glasraleighnc #queentheater #delaware #tada https://t.co/V4GGy0yWZ2,FALSE,0,NA,2017/12/18 18:39,FALSE,NA,9.42827E+17,NA,xvlog application,xvlOG,1,TRUE,FALSE,NA,NA
"RT @budoralazmi23: ""You told me You love me so why did you go! away"" 
#TaylorSwift",FALSE,0,NA,2017/12/18 18:39,FALSE,NA,9.42827E+17,NA,xvlog application,xvlOG,1,TRUE,FALSE,NA,NA
RT @twinfire_signs: SELLING 2 TAYLOR SWIFT TICKETS FOR LONDON! #reputationtour #tour #reputation #tickets #concert #taylorswift,FALSE,0,NA,2017/12/18 18:39,FALSE,NA,9.42827E+17,NA,xvlog application,xvlOG,1,TRUE,FALSE,NA,NA
SELLING 2 TAYLOR SWIFT TICKETS FOR LONDON! #reputationtour #tour #reputation #tickets #concert #taylorswift,FALSE,0,NA,2017/12/18 18:36,FALSE,NA,9.42826E+17,NA,Twitter for iPhone,twinfire_signs,1,FALSE,FALSE,NA,NA
"""You told me You love me so why did you go! away"" 
#TaylorSwift",FALSE,0,NA,2017/12/18 18:34,FALSE,NA,9.42825E+17,NA,Twitter for iPhone,budoralazmi23,1,FALSE,FALSE,NA,NA
RT @EonlineLatino: As<U+00ED> es c<U+00F3>mo #GigiHadid y #TaylorSwift confirman que siguen siendo mejores amigas <U+00A1>Mira! https://t.co/XnUS6mb5Zd,FALSE,0,NA,2017/12/18 18:33,FALSE,NA,9.42825E+17,NA,Twitter for Android,PaolaIPS2015,2,TRUE,FALSE,NA,NA
"RT @ItsEmaan_: Credit to the honor <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>
 Lil #TaylorSwift https://t.co/Pdo9ILcV6B",FALSE,0,NA,2017/12/18 18:30,FALSE,NA,9.42824E+17,NA,Twitter for Android,Khalid_Says2,13,TRUE,FALSE,NA,NA
"RT @ItsEmaan_: Credit to the honor <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>
 Lil #TaylorSwift https://t.co/Pdo9ILcV6B",FALSE,0,NA,2017/12/18 18:29,FALSE,NA,9.42824E+17,NA,Twitter for Android,heer96__,13,TRUE,FALSE,NA,NA
#Taylorswift #eglomis<U+00E9> #panel #glasraleighnc #queentheater #delaware #tada https://t.co/V4GGy0yWZ2,FALSE,0,NA,2017/12/18 18:27,FALSE,NA,9.42824E+17,NA,Facebook,Axe2GrindDesign,1,FALSE,FALSE,NA,NA
S<U+00E4>ngerin Taylor Swift hat gleich doppeltes Gl<U+00FC>ck! Ihre Karriere l<U+00E4>uft mal<U+2026> https://t.co/3GRtNXCf54 #TaylorSwift,FALSE,0,NA,2017/12/18 18:26,FALSE,NA,9.42823E+17,NA,Google,musikamade,1,FALSE,FALSE,NA,NA
"Gerade weil der Brite so sympathisch ist und die Zuschauer ihn m<U+00F6>gen, wird er<U+2026> https://t.co/zJEegzYLbe #TaylorSwift",FALSE,0,NA,2017/12/18 18:26,FALSE,NA,9.42823E+17,NA,Google,musikamade,1,FALSE,FALSE,NA,NA
"RT @ItsEmaan_: Credit to the honor <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>
 Lil #TaylorSwift https://t.co/Pdo9ILcV6B",FALSE,0,NA,2017/12/18 18:23,FALSE,NA,9.42823E+17,NA,Twitter for Android,cutestar_n,13,TRUE,FALSE,NA,NA
"RT @ItsEmaan_: Credit to the honor <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>
 Lil #TaylorSwift https://t.co/Pdo9ILcV6B",FALSE,0,NA,2017/12/18 18:23,FALSE,NA,9.42823E+17,NA,Twitter for Android,Parhly_beta,13,TRUE,FALSE,NA,NA
"RT @teraha_hawai: #<U+30C6><U+30E9><U+30B9><U+30CF><U+30A6><U+30B9>in<U+30CF><U+30EF><U+30A4> <U+306E>OP<U+66F2><U+306F><U+524D><U+56DE><U+540C><U+69D8> #TaylorSwift <U+306E> #NewRomantics <U+3067><U+3059><U+3002><U+76F8><U+5909><U+308F><U+3089><U+305A><U+306E><U+30AB><U+30C3><U+30B3><U+3044><U+3044><U+30AA><U+30FC><U+30D7><U+30CB><U+30F3><U+30B0><U+3067><U+3059><U+FF01><U+3053><U+306E><U+66F2><U+304C><U+59CB><U+307E><U+308B><U+3068><U+3001><U+30EF><U+30AF><U+30EF><U+30AF><U+3057><U+3066><U+304D><U+307E><U+3059><U+3088><U+306D><U+FF01><U+7686><U+3055><U+3093><U+306F><U+4ED6><U+306B><U+304A><U+52E7><U+3081><U+306A><U+66F2><U+3042><U+308A><U+307E><U+3059><U+304B><U+FF1F> https:<U+2026>",FALSE,0,NA,2017/12/18 18:20,FALSE,NA,9.42822E+17,NA,Twitter for iPhone,misato001200,22,TRUE,FALSE,NA,NA
"And I'm so furious
At you for making me feel this way
But what can I say? 
#TaylorSwift #reylo #starwars https://t.co/ot8XTpBxyj",FALSE,0,NA,2017/12/18 18:20,FALSE,NA,9.42822E+17,NA,Twitter for iPhone,swfanfic,0,FALSE,FALSE,NA,NA
"RT @ItsEmaan_: Credit to the honor <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>
 Lil #TaylorSwift https://t.co/Pdo9ILcV6B",FALSE,0,NA,2017/12/18 18:15,FALSE,NA,9.42821E+17,NA,Twitter for iPhone,Humnayyy,13,TRUE,FALSE,NA,NA
#TaylorSwift You Belong to Me #Music https://t.co/9CiCBaX8LM,FALSE,0,NA,2017/12/18 18:15,FALSE,NA,9.42821E+17,NA,The Social Jukebox,LOVE_OF_MUSIC_,0,FALSE,FALSE,NA,NA
